query_id,recall_at_3,recall_at_5,recall_at_10,mrr,ndcg_at_5,ndcg_at_10,map
314,0.0,0.0,1.0,0.1111111111111111,0.0,0.3010299956639812,0.1111111111111111
324,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5
327,1.0,1.0,1.0,1.0,1.0,1.0,1.0
338,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5
343,0.5,1.0,1.0,1.0,0.8772153153380493,0.8772153153380493,0.75
350,1.0,1.0,1.0,1.0,1.0,1.0,1.0
354,1.0,1.0,1.0,1.0,1.0,1.0,1.0
362,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5
380,1.0,1.0,1.0,1.0,1.0,1.0,1.0
384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,1.0,1.0,1.0,0.5,0.6934264036172708,0.6934264036172708,0.5833333333333333
386,1.0,1.0,1.0,1.0,1.0,1.0,1.0
388,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5
399,1.0,1.0,1.0,1.0,1.0,1.0,1.0
410,1.0,1.0,1.0,1.0,1.0,1.0,1.0
411,1.0,1.0,1.0,1.0,1.0,1.0,1.0
415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
421,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431,0.0,0.0,1.0,0.1,0.0,0.2890648263178879,0.1
436,1.0,1.0,1.0,1.0,1.0,1.0,1.0
437,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439,1.0,1.0,1.0,1.0,1.0,1.0,1.0
440,1.0,1.0,1.0,1.0,1.0,1.0,1.0
443,1.0,1.0,1.0,1.0,1.0,1.0,1.0
452,0.5,0.5,0.5,1.0,0.6131471927654584,0.6131471927654584,0.5
475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,1.0,1.0,1.0,1.0,1.0,1.0,1.0
491,1.0,1.0,1.0,1.0,1.0,1.0,1.0
501,1.0,1.0,1.0,1.0,1.0,1.0,1.0
502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5
508,0.0,0.0,1.0,0.125,0.0,0.31546487678572877,0.125
513,1.0,1.0,1.0,1.0,1.0,1.0,1.0
514,1.0,1.0,1.0,1.0,1.0,1.0,1.0
516,1.0,1.0,1.0,1.0,1.0,1.0,1.0
517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333
525,1.0,1.0,1.0,1.0,1.0,1.0,1.0
527,0.0,0.0,0.0,0.0,0.0,0.0,0.0
528,1.0,1.0,1.0,1.0,1.0,1.0,1.0
532,1.0,1.0,1.0,1.0,1.0,1.0,1.0
533,1.0,1.0,1.0,1.0,1.0,1.0,1.0
535,0.0,0.0,1.0,0.14285714285714285,0.0,0.3333333333333333,0.14285714285714285
536,1.0,1.0,1.0,1.0,1.0,1.0,1.0
539,1.0,1.0,1.0,1.0,1.0,1.0,1.0
540,0.0,0.0,0.5,0.16666666666666666,0.0,0.21840743681816419,0.08333333333333333
544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
549,1.0,1.0,1.0,1.0,1.0,1.0,1.0
551,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,0.5
552,1.0,1.0,1.0,1.0,1.0,1.0,1.0
554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
560,0.0,0.0,0.0,0.0,0.0,0.0,0.0
569,0.0,1.0,1.0,0.25,0.43067655807339306,0.43067655807339306,0.25
575,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333
577,0.0,1.0,1.0,0.25,0.43067655807339306,0.43067655807339306,0.25
578,1.0,1.0,1.0,1.0,1.0,1.0,1.0
587,0.0,0.0,0.0,0.0,0.0,0.0,0.0
589,1.0,1.0,1.0,1.0,1.0,1.0,1.0
593,1.0,1.0,1.0,1.0,1.0,1.0,1.0
597,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.23463936301137822,0.5267175784514114,0.30634920634920637
598,0.0,0.0,1.0,0.14285714285714285,0.0,0.3333333333333333,0.14285714285714285
613,1.0,1.0,1.0,1.0,1.0,1.0,1.0
619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
628,1.0,1.0,1.0,1.0,1.0,1.0,1.0
636,1.0,1.0,1.0,1.0,1.0,1.0,1.0
637,0.0,1.0,1.0,0.25,0.43067655807339306,0.43067655807339306,0.25
641,0.5,0.5,1.0,1.0,0.6131471927654584,0.8315546295836225,0.6666666666666666
644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
649,1.0,1.0,1.0,1.0,1.0,1.0,1.0
659,1.0,1.0,1.0,1.0,1.0,1.0,1.0
660,0.0,0.0,0.0,0.0,0.0,0.0,0.0
